'TITLE',"'AUTHOR (first, last)'","'AUTHOR (last, first)'",'DATE','LCC','DDC','ISBN',"'PUBLICATION INFO'",'RATING','REVIEW',"'ENTRY DATE'",'COPIES','SUBJECTS','TAGS'
"Cerebus, Volume 1","Dave Sim","Sim, Dave",1991,,,[0919359086],"Aardvark-Vanheim (1991), Paperback",0,,"2006-08-23 08:35:04",1,
"Church &amp; State I (Cerebus, Volume 3)","Dave Sim","Sim, Dave",1987,,,[0919359094],"Aardvark-Vanheim (1987), Edition: 1, Paperback",0,,"2006-08-23 08:35:14",1,
"Melmoth (Cerebus, Volume 6)","Dave Sim","Sim, Dave",1991,,,[0919359108],"Aardvark-Vanheim (1991), Paperback",0,,"2006-08-23 08:35:24",1,
"Flight (Cerebus, Volume 7)","Dave Sim","Sim, Dave",1993,,,[0919359132],"Aardvark-Vanheim (1993), Paperback",0,,"2006-08-23 08:35:33",1,
"High Society (Cerebus, Volume 2)","Dave Sim","Sim, Dave",1994,,,[0919359078],"Aardvark-Vanheim (1994), Edition: Reissue, Paperback",0,,"2006-08-23 08:36:04",1,
"Church &amp; State II (Cerebus, Volume 4)","Dave Sim","Sim, Dave",1988,,,[0919359116],"Aardvark-Vanheim (1988), Paperback",0,,"2006-08-23 08:36:17",1,
Lullaby,"Chuck Palahniuk","Palahniuk, Chuck",2003,,,[0099459183],"Anchor (2003), Paperback",0,,"2006-08-23 08:41:20",1,"Horror fiction > 
Horror fiction
Incantations > Fiction > 
Incantations > Fiction
Journalists > Fiction > 
Journalists > Fiction
Sudden infant death syndrome > Fiction > 
Sudden infant death syndrome > Fiction"
"V for Vendetta","Alan Moore","Moore, Alan",1995,,,[0930289528],"DC Comics (1995), Edition: Reissue, Paperback",0,,"2006-08-23 08:42:58",1,"Graphic novels"
Ronin,"Frank Miller","Miller, Frank",1995,,,[0930289218],"General (1995), Paperback",0,,"2006-08-23 08:44:17",1,"Comic books, strips, etc"
"Akira, Vol. 1","Katsuhiro Otomo","Otomo, Katsuhiro",2000,,,[1569714983],"Dark Horse (2000), Paperback",4.5,,"2006-08-23 08:48:59",1,
"Katsuhiro Otomo: Anthology 1","Katsuhiro Otomo","Otomo, Katsuhiro",1990,,,[087135697X],"Diamond Comic Distributors (1990), Hardcover",0,,"2006-08-23 08:51:18",1,
Domu,"Otomo Katsuhiro","Katsuhiro, Otomo",1990,,,[1840234083],Futabasha,0,,"2006-08-23 08:51:24",1,
Memories,"Katsuhiro Otomo","Otomo, Katsuhiro",1995,,,[0749396873],"Random House Australia (1995), Paperback",0,,"2006-08-23 08:51:30",1,
"The Tipping Point: How Little Things Can Make a Big Difference","Malcolm Gladwell","Gladwell, Malcolm",2002,,,[0316346624],"Back Bay Books (2002), Paperback",0,,"2006-08-23 08:58:16",1,"Causalit̩
Causation > 
Causation
Contagion (Social psychology) > 
Contagion (Social psychology)
Contagion sociale
Context effects (Psychology) > 
Context effects (Psychology)
Effets de contexte (Psychologie)
Psychologie sociale
Social psychology > 
Social psychology
Sociale processen"
"Blink : The Power of Thinking Without Thinking","Malcolm Gladwell","Gladwell, Malcolm",2005,,,[0141022043],"Little, Brown (2005), Edition: First Editon, Hardcover",3,,"2006-08-23 08:58:32",1,"Decision making > 
Decision making
Decision-making
Intuition > 
Intuition
Prise de d̩cision"
"Mediated: How the Media Shape Your World","Thomas de Zengotita","Zengotita, Thomas de",2005,,,[074757085X],"Bloomsbury (2005), Paperback",0,,"2006-08-23 09:01:04",1,"Mass media > Influence > 
Mass media > Influence"
"The Little Schemer - 4th Edition","Daniel P. Friedman","Friedman, Daniel P.",1995,,,[0262560992],"The MIT Press (1995), Edition: 4th, Paperback",0,,"2006-12-04 18:02:48",1,"LISP (Computer program language) > 
LISP (Computer program language)
Scheme (Computer program language) > 
Scheme (Computer program language)"
"Making Comics: Storytelling Secrets of Comics, Manga and Graphic Novels","Scott McCloud","McCloud, Scott",2006,,,[0060780940],"Harper Paperbacks (2006), Paperback",0,,"2006-12-04 18:02:59",1,"Cartooning > Technique > 
Comic books, strips, etc. > Authorship > 
Comic books, strips, etc. > Authorship
Comic books, strips, etc. > History and criticism > 
Comic books, strips, etc. > Illustrations"
"Refactoring: Improving the Design of Existing Code","Martin Fowler","Fowler, Martin",1999,,,[0201485672],"Addison-Wesley Professional (1999), Edition: 1st, Hardcover",0,,"2006-12-04 18:03:16",1,"Object-oriented programming (Computer science) > 
Object-oriented programming (Computer science)
Software refactoring > 
Software refactoring"
"El Borbah","Charles Burns","Burns, Charles",2005,,,[1560976934],"Fantagraphics (2005), Paperback",0,,"2006-12-04 18:06:49",1,"Comic books, strips, etc > 
Comic books, strips, etc. > United States > 
Graphic novels"
"The Mythical Man-Month: Essays on Software Engineering, 20th Anniversary Edition","Frederick P. Brooks","Brooks, Frederick P.",1995,,,[0201835959],"Addison-Wesley Professional (1995), Paperback, 322 pages",0,,"2007-05-22 10:49:40",1,"Software engineering > 
Software engineering"
"Structure and Interpretation of Computer Programs - 2nd Edition (MIT Electrical Engineering and Computer Science)","Harold Abelson","Abelson, Harold",1996,,,[0262510871],"The MIT Press (1996), Paperback, 657 pages",0,,"2007-05-22 10:50:22",1,"Computer programming > 
Computer programming
Computers
LISP (Computer program language) > 
LISP (Computer program language)
Programming languages"
"Terry Jones' Medieval Lives","Terry Jones","Jones, Terry",2006,,,[0563522755],"BBC Worldwide (2006), Paperback, 224 pages",0,,"2007-05-22 10:51:10",1,"Civilization, Medieval > 
Great Britain > History > Medieval period, 1066-1485 > 
Great Britain > Social conditions > 1066-1485 > 
Middle Ages"
"The Visual Display of Quantitative Information, 2nd edition","Edward R. Tufte","Tufte, Edward R.",2001,,,[0961392142],"Graphics Press (2001), Hardcover, 197 pages",0,,"2007-05-22 10:51:25",1,"Graphic methods > 
Graphic methods
Statistics > Graphic methods > 
Statistics > Graphic methods"
"Envisioning Information","Edward R. Tufte","Tufte, Edward R.",1990,,,[0961392118],"Graphics Press (1990), Hardcover, 126 pages",0,,"2007-05-22 10:51:34",1,"Communication > 
Communication > Graphic methods > 
Graphic arts > 
Visual communication > 
Visual communication"
Pastoralia,"George Saunders","Saunders, George",2001,,,[0747553866],"Bloomsbury Publishing PLC (2001), Paperback, 208 pages",0,,"2007-05-22 10:51:53",1,"United States > Social life and customs > Fiction > 
United States > Social life and customs > Fiction"
"CivilWarLand in Bad Decline","George Saunders","Saunders, George",1997,,,[1573225797],"Riverhead Trade (1997), Paperback, 192 pages",0,,"2007-05-22 10:52:01",1,
"The Brief and Frightening Reign of Phil","George Saunders","Saunders, George",2005,,,[0747585962],"Riverhead Trade (2005), Paperback, 144 pages",0,,"2007-05-22 10:52:10",1,"Citizenship > Fiction > 
Citizenship > Fiction
Fantasy fiction > 
Fantasy fiction
Humorous fiction > 
Humorous fiction
Political fiction > 
Political fiction
Power (Social sciences) > Fiction > 
Power (Social sciences) > Fiction"
"Music for Torching","A M Homes",", A M Homes",2006,,,[1862078890],"Granta Books (2006), Paperback, 368 pages",0,,"2007-05-22 10:53:39",1,
"The Undercover Economist","Tim Harford","Harford, Tim",2006,,,[0349119856],"Oxford (2006), Paperback, 288 pages",0,,"2007-05-22 10:54:02",1,"Consumer education > 
Consumer education
Economic history > 1990- > 
Economic history
Economic history, 1990- > 
Economic policy > Popular works
Economics > 
Economics > Popular works
Economics
Macroeconomics > Popular works"
"The Pragmatic Programmer: From Journeyman to Master","Andrew Hunt","Hunt, Andrew",1999,,,[020161622X],"Addison-Wesley Professional (1999), Paperback, 352 pages",0,,"2007-05-22 10:54:21",1,"Computer programming > 
Computer programming"
"The God Delusion","Richard Dawkins","Dawkins, Richard",2006,,,[0618680004],"Houghton Mifflin (2006), Hardcover, 416 pages",0,,"2007-05-22 11:00:08",1,"Atheism > 
Atheism
God > 
God > Proof > 
God
Irreligion > 
Irreligion
Religion > 
Religion > Controversial literature
Religion"
"Michael Tolliver Lives: A Novel","Armistead Maupin","Maupin, Armistead",2007,,,[0060761350],"HarperCollins (2007), Hardcover, 288 pages",0,,"2007-07-14 10:46:12",1,"City and town life > California > San Francisco > Fiction > 
City and town life > San Francisco > Fiction
San Francisco (Calif.) > Fiction > 
San Francisco (Calif.) > Fiction"
"Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture","David Kushner","Kushner, David",2004,,,[0812972155],"Random House Trade Paperbacks (2004), Paperback, 368 pages",0,,"2007-08-20 15:10:10",1,"Carmack, John > 
Computer games > History > 
Computer games > History
Computer games > Programming > History > 
Computer programmers > United States > Biography > 
Computer programmers > United States > Biography
Electronic games industry > United States > Biography > 
Romero, John, 1967- > 
Video games > History"
"Just for Fun: The Story of an Accidental Revolutionary","Linus Torvalds","Torvalds, Linus",2002,,,[1587991519],"Collins (2002), Paperback, 288 pages",0,,"2007-08-20 15:10:42",1,"Computer programmers > Finland > Biography > 
Computer programmers > Finland > Biography
Linux > 
Torvalds, Linus, 1969-"
"Game, Set and Math: Enigmas and Conundrums (Dover Classics of Science & Mathematics)","Ian Stewart","Stewart, Ian",2007,,793.74,[0140132376],"Dover Publications (2007), Paperback, 208 pages",0,,"2008-05-12 09:11:24",1,"Mathematical recreations > 
Mathematical recreations"
"Wired Style","Constance Hale","Hale, Constance",1999,,004.03,[0767903722],"Broadway (1999), Edition: Rev Upd, Paperback, 208 pages",0,,"2008-05-12 09:11:43",1,"Computer networks > Dictionaries > 
Computer networks > Dictionaries
Computers > Dictionaries > 
Computers > Dictionaries
English language > Style > 
English language > Style
Information technology > Dictionaries
Information technology > Slang > Dictionaries > 
Information technology > Slang > Dictionaries"
"The Chomsky Reader","Noam Chomsky","Chomsky, Noam",1987,,327.73,[0394751736],"Pantheon (1987), Edition: 1, Paperback, 512 pages",0,,"2008-05-12 09:11:59",1,"United States > Foreign relations > 1945-1989 > 
United States > Foreign relations > 1945-1989
United States > Foreign relations > 1981- > 
United States Foreign relations"
"The Black Swan: The Impact of the Highly Improbable","Nassim Nicholas Taleb","Taleb, Nassim Nicholas",2007,,003.54,[0141034599],"Random House (2007), Edition: 1, Hardcover, 400 pages",0,,"2008-05-12 09:12:26",1,"Forecasting > 
Forecasting
Uncertainty (Information theory) > Social aspects > 
Uncertainty (Information theory) > Social aspects"
"Calculus Made Easy","Silvanus P. Thompson","Thompson, Silvanus P.",1998,,515,[0312185480],"St. Martin's Press (1998), Edition: Revised, Updated, Expanded, Hardcover, 336 pages",0,,"2008-05-12 09:13:12",1,"Calculus > 
Calculus"
"The Road","Cormac McCarthy","McCarthy, Cormac",2007,,,[0330447548],"Picador (2007), Paperback, 256 pages",0,,"2008-05-12 09:13:45",1,"Apocalyptic fiction > 
Disasters > Fiction > 
Dystopias > 
Ethics > Fiction > 
Fathers and sons > Fiction > 
Fathers and sons > Fiction
Hunger > Fiction > 
Large type books > 
Regression (Civilization) > Fiction > 
Regression (Civilization) > Fiction
Robinsonades > 
Robinsonades
Survival skills > Fiction > 
Survival skills > Fiction
Voyages and travels > Fiction > 
Voyages and travels > Fiction
Voyages and travels > United States > Fiction"
"Founders at Work: Stories of Startups' Early Days","Jessica Livingston","Livingston, Jessica",2007,,658.11,[1590597141],"Apress (2007), Hardcover, 500 pages",0,,"2008-05-12 09:15:29",1,"Electronic industries > United States > Case studies > 
Electronic industries > United States > Case studies
New business enterprises > United States > Case studies > 
New business enterprises > United States > Case studies"
